property_id,address,city,state,zip_code,property_type,bedrooms,bathrooms,square_footage,monthly_rent,year_built,parking_spaces,has_pool,has_gym,pet_friendly,date_listed,status,days_on_market,neighborhood,schools_rating,crime_rate
P001,123 Main St,Los Angeles,CA,90001,Apartment,2,2,1050,2450,1995,1,False,True,True,2024-01-05,Occupied,15,Downtown,7,Medium
P002,456 Oak Ave,Los Angeles,CA,90002,Apartment,1,1,750,1900,2005,1,False,True,True,2024-01-10,Vacant,45,Silver Lake,8,Low
P003,789 Pine Blvd,Los Angeles,CA,90003,House,3,2.5,1800,3600,1980,2,True,False,True,2024-01-12,Occupied,10,Hollywood Hills,9,Low
P004,321 Cedar Dr,San Francisco,CA,94107,Condo,2,2,1100,3800,2010,1,False,True,False,2024-01-15,Occupied,8,Mission District,8,Medium
P005,654 Maple Ln,San Francisco,CA,94110,Apartment,1,1,700,3200,2000,0,False,True,True,2024-01-20,Vacant,30,SOMA,7,Medium
P006,987 Birch Rd,San Francisco,CA,94115,House,4,3,2200,5500,1975,2,True,False,True,2024-01-22,Occupied,5,Pacific Heights,9,Low
P007,159 Elm St,New York,NY,10001,Apartment,2,1,850,3600,1960,0,False,True,False,2024-01-25,Occupied,7,Chelsea,8,Medium
P008,357 Walnut Ave,New York,NY,10007,Condo,3,2,1400,4800,2015,1,False,True,False,2024-01-28,Vacant,22,Tribeca,9,Low
P009,852 Cherry Blvd,New York,NY,10016,Studio,0,1,500,2800,1980,0,False,True,True,2024-02-01,Occupied,4,Murray Hill,7,Medium
P010,741 Aspen Dr,Chicago,IL,60601,Apartment,2,2,1100,2200,2005,1,False,True,True,2024-02-05,Vacant,15,Loop,8,Medium
P011,963 Spruce Ln,Chicago,IL,60607,Loft,1,1,950,1950,1920,0,False,False,True,2024-02-08,Occupied,9,West Loop,7,Medium
P012,258 Redwood Rd,Chicago,IL,60614,House,3,2,1700,3100,1965,2,False,False,True,2024-02-10,Occupied,12,Lincoln Park,9,Low
P013,369 Sycamore St,Seattle,WA,98101,Apartment,1,1,750,2100,2010,1,False,True,False,2024-02-12,Vacant,18,Downtown,8,Medium
P014,147 Willow Way,Seattle,WA,98109,Condo,2,2,1200,3000,2008,1,False,True,True,2024-02-15,Occupied,6,Queen Anne,9,Low
P015,258 Fir Ave,Seattle,WA,98104,Studio,0,1,550,1800,1990,0,False,True,True,2024-02-18,Vacant,25,Pioneer Square,7,Medium
